Date,Max Data,std
2000-01-01,0.1400,0.0406
2000-02-01,0.1500,0.0411
2000-03-01,0.1700,0.0426
2000-04-01,0.2400,0.0705
2000-05-01,0.2200,0.0583
2000-06-01,0.2100,0.0583
2000-07-01,0.2200,0.0414
2000-08-01,0.2200,0.0472
2000-09-01,0.1700,0.0354
2000-10-01,0.1800,0.0327
2000-11-01,0.1500,0.0401
2000-12-01,0.1400,0.0424
2001-01-01,0.1800,0.0442
2001-02-01,0.2000,0.0384
2001-03-01,0.2500,0.0450
2001-04-01,0.2400,0.0457
2001-05-01,0.2400,0.0529
2001-06-01,0.2500,0.0338
2001-07-01,0.2400,0.0407
2001-08-01,0.2500,0.0419
2001-09-01,0.2500,0.0470
2001-10-01,0.2100,0.0525
2001-11-01,0.2000,0.0383
2001-12-01,0.1800,0.0463
2002-01-01,0.2100,0.0464
2002-02-01,0.2400,0.0337
2002-03-01,0.2600,0.0479
2002-04-01,0.2600,0.0439
2002-05-01,0.2600,0.0437
2002-06-01,0.2400,0.0485
2002-07-01,0.2300,0.0484
2002-08-01,0.2400,0.0461
2002-09-01,0.2400,0.0377
2002-10-01,0.2200,0.0387
2002-11-01,0.2000,0.0430
2002-12-01,0.1900,0.0497
2003-01-01,0.1900,0.0348
2003-02-01,0.2400,0.0342
2003-03-01,0.2400,0.0500
2003-04-01,0.2500,0.0379
2003-05-01,0.2600,0.0447
2003-06-01,0.2200,0.0410
2003-07-01,0.2400,0.0375
2003-08-01,0.2400,0.0430
2003-09-01,0.2500,0.0422
2003-10-01,0.2300,0.0310
2003-11-01,0.2100,0.0398
2003-12-01,0.1900,0.0490
2004-01-01,0.2000,0.0428
2004-02-01,0.2500,0.0350
2004-03-01,0.2600,0.0436
2004-04-01,0.2700,0.0451
2004-05-01,0.2600,0.0453
2004-06-01,0.2500,0.0414
2004-07-01,0.2500,0.0408
2004-08-01,0.2500,0.0338
2004-09-01,0.2400,0.0392
2004-10-01,0.2100,0.0460
2004-11-01,0.1900,0.0505
2004-12-01,0.1800,0.0566
2005-01-01,0.1900,0.0411
2005-02-01,0.2100,0.0299
2005-03-01,0.2500,0.0397
2005-04-01,0.2400,0.0430
2005-05-01,0.2300,0.0414
2005-06-01,0.2400,0.0421
2005-07-01,0.2500,0.0420
2005-08-01,0.2400,0.0450
2005-09-01,0.2400,0.0326
2005-10-01,0.2200,0.0314
2005-11-01,0.1900,0.0366
2005-12-01,0.1700,0.0420
2006-01-01,0.1900,0.0439
2006-02-01,0.2200,0.0372
2006-03-01,0.2300,0.0344
2006-04-01,0.2500,0.0320
2006-05-01,0.2500,0.0353
2006-06-01,0.2500,0.0479
2006-07-01,0.2500,0.0392
2006-08-01,0.2500,0.0456
2006-09-01,0.2400,0.0405
2006-10-01,0.2200,0.0383
2006-11-01,0.1900,0.0445
2006-12-01,0.2000,0.0472
2007-01-01,0.2100,0.0494
2007-02-01,0.2600,0.0337
2007-03-01,0.2600,0.0423
2007-04-01,0.2500,0.0531
2007-05-01,0.2600,0.0461
2007-06-01,0.2600,0.0345
2007-07-01,0.2500,0.0428
2007-08-01,0.2500,0.0520
2007-09-01,0.2500,0.0419
2007-10-01,0.2300,0.0518
2007-11-01,0.2100,0.0435
2007-12-01,0.1900,0.0485
2008-01-01,0.2000,0.0400
2008-02-01,0.2200,0.0396
2008-03-01,0.2500,0.0429
2008-04-01,0.2500,0.0491
2008-05-01,0.2400,0.0544
2008-06-01,0.2400,0.0418
2008-07-01,0.2100,0.0507
2008-08-01,0.2000,0.0419
2008-09-01,0.1800,0.0502
2008-10-01,0.1800,0.0532
2008-11-01,0.1800,0.0450
2008-12-01,0.1600,0.0563
2009-01-01,0.2200,0.0589
2009-02-01,0.2300,0.0329
2009-03-01,0.2400,0.0372
2009-04-01,0.2400,0.0391
2009-05-01,0.2400,0.0506
2009-06-01,0.2400,0.0358
2009-07-01,0.2400,0.0297
2009-08-01,0.2400,0.0386
2009-09-01,0.2100,0.0405
2009-10-01,0.2200,0.0414
2009-11-01,0.1800,0.0388
2009-12-01,0.1800,0.0410
2010-01-01,0.2000,0.0445
2010-02-01,0.2200,0.0517
2010-03-01,0.2400,0.0503
2010-04-01,0.2400,0.0451
2010-05-01,0.2300,0.0359
2010-06-01,0.2300,0.0395
2010-07-01,0.2200,0.0598
2010-08-01,0.2200,0.0499
2010-09-01,0.2200,0.0517
