Dates,Max,std
2000-01-01,4.8000,0.5880
2000-02-01,5.6000,0.4560
2000-03-01,6.4000,0.9360
2000-04-01,9.6000,2.4600
2000-05-01,9.2000,1.5640
2000-06-01,9.6000,1.6200
2000-07-01,9.6000,0.9640
2000-08-01,9.6000,1.5600
2000-09-01,7.6000,1.6920
2000-10-01,6.8000,0.9560
2000-11-01,5.6000,0.8920
2000-12-01,4.8000,0.8760
2001-01-01,5.6000,0.6960
2001-02-01,7.2000,0.9440
2001-03-01,10.4000,1.3000
2001-04-01,10.4000,1.2800
2001-05-01,10.0000,1.5200
2001-06-01,10.0000,0.9840
2001-07-01,10.0000,1.0600
2001-08-01,10.8000,0.9600
2001-09-01,10.4000,1.2560
2001-10-01,8.8000,2.0440
2001-11-01,7.6000,1.0360
2001-12-01,6.4000,0.9160
2002-01-01,6.8000,0.9760
2002-02-01,8.8000,1.3160
2002-03-01,11.2000,1.0320
2002-04-01,11.2000,1.1040
2002-05-01,10.8000,1.5280
2002-06-01,10.4000,1.1400
2002-07-01,9.6000,1.8360
2002-08-01,10.0000,0.9840
2002-09-01,10.0000,1.3280
2002-10-01,8.8000,1.0480
2002-11-01,7.2000,1.3400
2002-12-01,6.4000,1.1320
2003-01-01,6.8000,1.1680
2003-02-01,9.2000,0.9280
2003-03-01,10.0000,1.6160
2003-04-01,10.4000,1.1800
2003-05-01,11.2000,1.0120
2003-06-01,,
2003-07-01,10.0000,1.3760
2003-08-01,10.0000,1.2720
2003-09-01,9.6000,1.6760
2003-10-01,9.6000,1.0880
2003-11-01,8.0000,1.1680
2003-12-01,6.8000,0.9680
2004-01-01,7.2000,1.5120
2004-02-01,9.6000,1.3320
2004-03-01,10.8000,1.4440
2004-04-01,11.6000,1.5360
2004-05-01,10.8000,1.2920
2004-06-01,10.8000,1.2680
2004-07-01,10.0000,1.2200
2004-08-01,10.4000,0.7040
2004-09-01,9.6000,0.9160
2004-10-01,8.4000,1.2800
2004-11-01,7.2000,0.9720
2004-12-01,6.0000,0.7320
2005-01-01,6.8000,0.8040
2005-02-01,8.4000,0.7960
2005-03-01,10.0000,1.2680
2005-04-01,10.4000,1.1280
2005-05-01,9.2000,1.2720
2005-06-01,10.0000,1.1040
2005-07-01,10.8000,1.0280
2005-08-01,10.0000,1.3720
2005-09-01,10.0000,0.8040
2005-10-01,8.8000,1.1440
2005-11-01,7.2000,0.7920
2005-12-01,6.0000,0.6400
2006-01-01,6.8000,1.0280
2006-02-01,8.4000,0.9920
2006-03-01,9.6000,0.6600
2006-04-01,10.8000,0.9720
2006-05-01,10.4000,0.8880
2006-06-01,10.8000,1.6720
2006-07-01,10.4000,1.3160
2006-08-01,10.0000,1.3920
2006-09-01,10.0000,1.4400
2006-10-01,8.8000,1.4160
2006-11-01,7.2000,1.3720
2006-12-01,6.8000,0.9480
2007-01-01,7.2000,1.2040
2007-02-01,9.6000,1.6400
2007-03-01,10.0000,1.4280
2007-04-01,10.8000,2.0640
2007-05-01,10.8000,1.1960
2007-06-01,11.2000,1.2200
2007-07-01,10.8000,1.1360
2007-08-01,10.4000,1.8640
2007-09-01,10.4000,1.5440
2007-10-01,9.2000,2.0400
2007-11-01,8.0000,1.2200
2007-12-01,6.8000,0.6720
2008-01-01,7.2000,1.1680
2008-02-01,8.8000,0.7440
2008-03-01,10.4000,0.9000
2008-04-01,10.8000,1.1600
2008-05-01,10.4000,1.6600
2008-06-01,10.4000,1.2800
2008-07-01,8.8000,1.4800
2008-08-01,8.4000,1.4800
2008-09-01,6.8000,2.0360
2008-10-01,6.8000,1.6480
2008-11-01,6.4000,0.9080
2008-12-01,4.8000,0.4480
2009-01-01,8.0000,1.8760
2009-02-01,8.8000,1.0960
2009-03-01,9.6000,1.2680
2009-04-01,10.0000,1.7000
2009-05-01,10.0000,1.7400
2009-06-01,10.4000,1.1520
2009-07-01,10.0000,1.0360
2009-08-01,10.0000,1.3440
2009-09-01,8.8000,2.0680
2009-10-01,8.4000,1.3120
2009-11-01,6.8000,0.6640
2009-12-01,6.4000,0.9360
2010-01-01,6.8000,1.6600
2010-02-01,8.4000,2.1080
2010-03-01,9.6000,1.5680
