Date,Hour,AOD 340,AOD 500
20170110,14,0.189,0.1131
20170110,15,0.1943,0.1145
20170110,16,0.1966,0.1128
20170110,17,0.1963,0.1121
20170110,18,0.2223,0.1239
20170110,19,0.4361,0.2297
20170110,20,0.5109,0.2676
20170110,21,0.5927,0.308
20170111,18,0.5186,0.2838
20170111,19,0.5366,0.2914
20170111,20,0.7644,0.4259
20170111,21,0.8428,0.4551
20170112,15,0.3222,0.1799
20170112,16,0.3175,0.1762
20170112,17,0.2748,0.1524
20170112,18,0.2445,0.1361
20170112,19,0.3821,0.2074
20170112,20,0.5867,0.3096
20170112,21,0.5945,0.318
20170113,14,0.1784,0.111
20170113,15,0.1847,0.1138
20170113,16,0.2289,0.136
20170113,17,0.2726,0.1587
20170113,18,0.2219,0.1277
20170113,19,0.2397,0.143
20170113,20,0.3706,0.2045
20170113,21,0.4443,0.2402
20170114,16,0.4852,0.2889
20170114,17,0.4844,0.2886
20170114,18,0.5971,0.351
20170114,19,0.5851,0.3473
20170114,20,0.82,0.4866
20170114,21,0.902,0.5342
20170114,22,1.1454,0.6843
20170114,23,1.0963,0.6397
20170115,13,0.2199,0.1341
20170115,14,0.2144,0.1303
20170115,15,0.2318,0.1387
20170115,16,0.2373,0.1421
20170115,17,0.2473,0.1469
20170115,18,0.417,0.2402
20170115,19,0.5692,0.3176
20170115,20,0.636,0.3498
20170115,21,0.7005,0.3836
20170116,17,0.2336,0.1378
20170116,18,0.2062,0.1216
20170116,19,0.1981,0.115
20170116,20,0.4857,0.2706
20170116,21,0.6619,0.3699
20170117,13,0.2575,0.1529
20170117,14,0.2653,0.1576
20170117,16,0.2682,0.1679
20170117,23,0.7367,0.4959
20170118,14,0.4067,0.2524
20170118,15,0.3695,0.2288
20170118,16,0.4219,0.2631
20170118,17,0.5452,0.3396
20170118,18,0.7781,0.4921
20170118,19,0.7832,0.5021
20170118,20,0.7305,0.4693
20170118,21,0.7821,0.4993
20170120,13,0,0.032
20170120,14,0,0.0377
20170120,15,0,0.0512
20170120,16,0,0.0527
20170120,17,0,0.0526
20170120,18,0,0.073
20170120,19,0,0.0638
20170120,20,0,0.0453
20170121,15,0.0328,0.0285
20170121,16,0.0475,0.0398
20170121,17,0.0472,0.0401
20170121,18,0.0599,0.0488
20170121,19,0.0754,0.0559
20170121,20,0.1202,0.0788
20170121,21,0.2193,0.1325
20170122,13,0.044,0.0305
20170122,14,0.056,0.0383
