Date,Ozono
20170101,241.96
20170102,234.88
20170103,241.96
20170104,242.4
20170105,244.3
20170106,243.63
20170107,256.95
20170108,241.96
20170109,247.63
20170110,241.96
20170111,243.39
20170112,239.65
20170113,231.09
20170114,226.04
20170115,241.96
20170116,238.25
20170117,241.96
20170118,240.93
20170119,241.96
20170120,243.68
20170121,241.96
20170122,244.06
20170123,244.31
20170124,241.96
20170125,248.01
20170126,241.96
20170127,247.19
20170128,240.0
20170129,237.78
20170130,239.62
20170131,244.6
20170201,244.69
20170202,250.32
20170203,244.67
20170204,250.32
20170205,250.85
20170206,239.33
20170207,241.93
20170208,250.29
20170209,250.32
20170210,251.99
20170211,250.32
20170212,249.87
20170213,249.5
20170214,246.31
20170215,243.88
20170216,250.32
20170217,263.83
20170218,250.32
20170219,254.26
20170220,250.32
20170221,256.66
20170222,250.32
20170223,264.79
20170224,259.62
20170225,250.32
20170226,255.16
20170227,250.32
20170228,243.62
20170301,244.81
20170302,240.08
20170303,242.18
20170304,257.49
20170305,237.21
20170306,257.49
20170307,248.03
20170308,257.49
20170309,257.68
20170310,255.25
20170311,258.04
20170312,257.49
20170313,257.49
20170314,257.49
20170315,257.49
20170316,257.49
20170317,263.56
20170318,260.74
20170319,261.62
20170320,257.49
20170321,267.5
20170322,257.49
20170323,266.63
20170324,257.49
20170325,267.89
20170326,257.49
20170327,268.85
20170328,261.8
20170329,263.17
20170330,261.16
20170331,257.49
20170401,266.19
20170402,265.38
20170403,262.63
20170404,267.15
20170405,264.53
20170406,259.41
20170407,267.07
20170408,268.65
20170409,267.9
20170410,265.02
20170411,283.32
20170412,277.21
20170413,267.35
20170414,267.21
20170415,270.01
20170416,271.56
20170417,280.32
20170418,293.07
20170419,286.22
20170420,283.73
20170421,296.01
20170422,282.22
20170423,288.7
20170424,269.27
20170425,262.26
20170426,271.74
20170427,271.56
20170428,254.31
20170429,260.24
20170430,265.7
20170501,262.37
20170502,270.99
20170503,263.61
20170504,270.79
20170505,277.12
20170506,270.85
20170507,278.28
20170508,267.37
20170509,270.99
20170510,278.73
20170511,266.82
20170512,273.57
20170513,275.52
20170514,275.0
20170515,270.46
20170516,272.31
20170517,269.25
20170518,270.99
20170519,268.36
20170520,275.28
20170521,270.23
20170522,273.35
20170523,274.87
20170524,271.62
20170525,270.99
20170526,274.0
20170527,280.68
20170528,266.35
20170529,270.99
20170530,268.36
20170531,260.22
20170601,261.38
20170602,263.26
20170603,268.94
20170604,261.23
20170605,271.69
20170606,260.82
20170607,265.93
20170608,264.82
20170609,261.99
20170610,268.94
20170611,269.87
20170612,268.94
20170613,262.84
20170614,276.59
20170615,269.65
20170616,270.73
20170617,268.94
20170618,277.55
20170619,268.94
20170620,277.33
20170621,273.8
20170622,260.79
20170623,267.11
20170624,274.65
20170625,266.47
20170626,268.94
20170627,270.86
20170628,286.5
20170629,267.51
20170630,268.94
20170701,271.23
20170702,268.9
20170703,277.38
20170704,280.45
20170705,277.38
20170706,274.77
20170707,297.99
20170708,264.73
20170709,276.38
20170710,274.61
20170711,269.19
20170712,277.38
20170713,274.28
20170714,285.01
20170715,281.62
20170716,288.75
20170717,280.38
20170718,274.09
20170719,282.03
20170720,269.58
20170721,277.38
20170722,274.31
20170723,282.58
20170724,273.04
20170725,275.4
20170726,279.21
20170727,265.51
20170728,277.38
20170729,279.36
20170730,292.06
20170731,276.41
20170801,270.64
20170802,280.64
20170803,287.76
20170804,283.75
20170805,272.44
20170806,270.64
20170807,271.35
20170808,270.01
20170809,254.18
20170810,255.7
20170811,272.0
20170812,268.58
20170813,270.64
20170814,277.04
20170815,282.17
20170816,272.13
20170817,271.69
20170818,267.49
20170819,272.24
20170820,275.34
20170821,268.76
20170822,270.64
20170823,273.79
20170824,282.33
20170825,265.88
20170826,263.72
20170827,267.78
20170828,264.62
20170829,270.64
20170830,270.42
20170831,257.03
20170901,258.51
20170902,259.02
20170903,257.82
20170904,263.11
20170905,265.21
20170906,255.0
20170907,259.02
20170908,257.85
20170909,260.21
20170910,263.07
20170911,259.45
20170912,265.21
20170913,259.49
20170914,259.02
20170915,263.0
20170916,263.31
20170917,257.12
20170918,257.04
20170919,262.6
20170920,252.9
20170921,264.76
20170922,262.25
20170923,259.02
20170924,260.23
20170925,252.54
20170926,261.39
20170927,256.33
20170928,252.71
20170929,246.4
20170930,259.02
20171001,257.02
20171002,259.63
20171003,261.44
20171004,260.7
20171005,255.96
20171006,266.69
20171007,265.59
20171008,256.02
20171009,260.7
20171010,264.45
20171011,266.54
20171012,264.33
20171013,263.68
20171014,273.44
20171015,264.57
20171016,260.7
20171017,259.24
20171018,260.7
20171019,254.33
20171020,260.8
20171021,260.6
20171022,256.74
20171023,260.7
20171024,257.11
20171025,260.7
20171026,260.81
20171027,266.62
20171028,262.68
20171029,253.82
20171030,257.09
20171031,248.3
20171101,250.25
20171102,256.41
20171103,250.25
20171104,250.21
20171105,250.25
20171106,253.05
20171107,250.52
20171108,250.25
20171109,252.09
20171110,250.25
20171111,238.34
20171112,242.62
20171113,244.83
20171114,244.36
20171115,253.23
20171116,255.92
20171117,250.25
20171118,252.12
20171119,250.25
20171120,244.86
20171121,252.39
20171122,265.9
20171123,266.07
20171124,250.25
20171125,256.9
20171126,250.25
20171127,249.57
20171128,246.05
20171129,240.97
20171130,238.58
20171201,250.49
20171202,252.66
20171203,250.57
20171204,254.69
20171205,250.57
20171206,249.5
20171207,250.57
20171208,244.95
20171209,245.85
20171210,250.57
20171211,242.32
20171212,250.57
20171213,249.29
20171214,252.31
20171215,247.85
20171216,244.61
20171217,249.09
20171218,255.99
20171219,250.57
20171220,250.3
20171221,250.57
20171222,253.88
20171223,253.9
20171224,246.02
20171225,253.04
20171226,250.57
20171227,248.64
20171228,250.57
20171229,253.79
20171230,256.6
20171231,256.86
20180101,264.07
20180102,249.99
20180103,249.28
20180104,253.51
20180105,249.78
20180106,253.51
20180107,254.68
20180108,253.51
20180109,253.22
20180110,259.87
20180111,253.51
20180112,269.51
20180113,253.51
20180114,259.24
20180115,264.17
20180116,266.48
20180117,253.14
20180118,257.63
20180119,249.13
20180120,253.51
20180121,247.87
20180122,253.51
20180123,255.18
20180124,247.69
20180125,251.36
20180126,244.61
20180127,253.51
20180128,248.82
20180129,253.51
20180130,245.49
20180131,242.78
20180201,246.85
20180202,253.31
20180203,251.96
20180204,256.3
20180205,252.56
20180206,257.21
20180207,252.56
20180208,242.38
20180209,252.56
20180210,239.99
20180211,242.85
20180212,252.56
20180213,245.65
20180214,252.56
20180215,249.83
20180216,248.89
20180217,259.21
20180218,257.4
20180219,252.56
20180220,243.48
20180221,252.56
20180222,256.77
20180223,252.56
20180224,256.81
20180225,263.55
20180226,256.9
20180227,257.56
20180228,252.56
20180301,264.3
20180302,267.27
20180303,266.45
20180304,262.5
20180305,262.09
20180306,265.91
20180307,269.16
20180308,262.43
20180309,267.27
20180310,259.08
20180311,267.27
20180312,261.34
20180313,267.27
20180314,266.89
20180315,257.82
20180316,267.27
20180317,261.4
20180318,267.27
20180319,266.62
20180320,270.51
20180321,268.39
20180322,271.21
20180323,267.27
20180324,268.98
20180325,267.27
20180326,275.51
20180327,267.27
20180328,283.18
20180329,275.07
20180330,273.94
20180331,267.14
20180401,272.64
20180402,270.63
20180403,272.64
20180404,261.75
20180405,277.64
20180406,265.45
20180407,284.22
20180408,272.64
20180409,276.07
20180410,272.64
20180411,273.11
20180412,269.47
20180413,272.72
20180414,272.64
20180415,273.91
20180416,271.96
20180417,271.8
20180418,274.3
20180419,272.64
20180420,279.23
20180421,275.99
20180422,273.91
20180423,264.8
20180424,267.62
