Date,AOD,RD, Difference
170113,0.315,9.94,9.94
170114,0.355,9.39,9.28
170118,0.275,9.42,9.41
170120,0.235,9.78,9.78
170122,0.185,9.72,9.72
170123,0.225,9.39,9.39
170127,0.275,9.33,9.33
170128,0.345,9.48,9.47
170130,0.395,9.42,9.42
170203,0.455,9.85,9.85
170207,0.385,9.84,9.79
170208,0.385,9.49,9.31
170226,0.305,9.33,9.33
170302,0.335,9.39,9.39
170402,0.345,9.34,9.34
170912,0.805,19.31,12.59
171007,0.805,66.14,50.72
171021,0.615,12.81,-0.05
171026,0.205,9.37,9.37
171027,0.355,9.72,8.91
171104,0.205,9.52,9.52
171106,0.175,9.6,9.28
171107,0.225,9.56,9.56
171113,0.325,15.21,-0.02
171115,0.235,9.46,9.05
171116,0.305,9.36,9.36
171118,0.635,31.02,-0.08
171122,0.245,9.46,9.46
171123,0.345,9.2,9.2
171125,0.175,9.48,9.43
171127,0.265,9.19,9.19
171128,0.315,9.58,9.57
171211,0.265,9.9,9.12
171213,0.585,10.45,-0.02
171215,0.175,9.06,9.06
171227,0.495,9.22,9.22
180103,0.485,9.4,9.39
180105,0.325,9.74,9.74
180107,0.255,9.52,9.52
180110,0.365,9.95,9.95
180114,0.355,9.76,9.76
180115,0.455,9.64,8.98
180116,0.535,9.57,8.55
180202,0.575,11.84,-0.75
180215,0.305,9.43,9.43
180216,0.375,9.95,9.95
180218,0.805,23.34,6.91
180227,0.595,13.95,-0.53
180303,0.355,9.58,9.58
180304,0.425,9.6,9.6
180310,0.245,9.82,9.81
180320,0.385,9.58,9.58
180417,0.435,9.35,9.26
180420,0.475,9.41,9.29
180531,0.195,9.94,9.94
