Date,AOD,RD, Difference
170329,0.025,8.94,8.94
170401,0.025,9.28,9.28
170404,0.095,9.49,9.49
170412,0.115,9.57,9.57
170420,0.095,9.19,9.19
170623,0.105,9.38,9.38
170912,0.065,9.4,9.4
171026,0.275,9.33,8.41
171027,0.105,9.15,9.15
171104,0.065,9.74,9.74
171106,0.155,9.46,9.46
171107,0.025,9.34,9.34
171113,0.025,9.56,9.56
171118,0.065,9.37,9.37
171121,0.225,9.76,9.73
171122,0.145,9.89,9.89
171123,0.285,9.25,9.24
171125,0.195,9.51,9.51
171127,0.095,9.37,9.37
171128,0.165,9.55,9.54
171129,0.115,9.72,9.72
171206,0.225,9.78,9.78
171211,0.155,9.7,9.7
171213,0.215,9.66,9.66
171215,0.115,9.94,8.27
171224,0.175,9.01,9.01
171227,0.215,9.52,9.52
171229,0.265,9.9,9.9
180102,0.315,9.32,9.32
180107,0.175,9.02,9.02
180109,0.085,9.62,9.62
180110,0.285,9.32,8.91
180112,0.115,9.13,9.13
180114,0.095,9.94,9.94
180115,0.345,9.94,8.34
180202,0.145,9.26,9.26
180216,0.305,9.4,8.64
180217,0.155,9.4,9.4
180218,0.295,9.92,8.98
180304,0.175,9.18,9.18
